date,ticker,open,high,low,close,volume,pe_ratio,pb_ratio,div_yield,depth_imbalance
2022-01-03,TICK000,100.49671415301123,101.19619200398276,100.31466500901932,101.43900730597854,248542,14.99821301611787,3.0006875757631,0.009941617042102377,0.01847104747810833
2022-01-04,TICK000,100.35844985184005,100.51289739782817,99.67489053193667,101.13007161597615,80539,15.002336330397382,3.000590271059959,0.009682221079297799,0.09379155375106552
2022-01-05,TICK000,101.00613838994074,101.83017992519976,100.82287452137487,100.7617136790476,101386,14.995929307755446,3.000655865050782,0.010869425675926666,0.0012499321907250335
2022-01-06,TICK000,102.52916824634876,102.75928529786023,101.99072259714055,101.96935952970425,71991,15.005342553356426,2.999138874381382,0.009839378616941044,0.28684030556667683
2022-01-07,TICK000,102.29501487162543,102.52396913399355,101.56969589274976,102.36545799508103,146127,15.008510723783624,2.9986780729529703,0.010916278521739601,-0.16685992588781953
2022-01-10,TICK000,102.06087791467625,102.60891872485854,101.95179838867756,101.17665823189483,216862,15.009180440526011,2.9968296066644338,0.010407075881059134,0.10587285298838789
2022-01-11,TICK000,103.64009073018364,104.25461421662908,103.05212783103683,103.80167458727604,296838,15.009015758524162,2.998610003486683,0.010241033363667693,-0.017280173739646437
2022-01-12,TICK000,104.40752545933655,105.01317911447092,104.13965460562437,104.33372416618722,167650,15.009872420748735,3.000680502156131,0.01018436657365876,0.07719201548366751
2022-01-13,TICK000,103.9380510734016,104.03314070918151,102.93720364601765,103.70503282246747,312214,15.011435788033873,2.9969881264316545,0.010196898649108126,0.04413071516992459
2022-01-14,TICK000,104.48061111698756,105.39738758857618,103.97539967026499,103.68325958335416,93709,15.013371434791724,2.99512910471127,0.009036163710327194,-0.07331561971099966
2022-01-17,TICK000,104.0171934241751,104.29346313420929,103.17882259469104,104.27399347745997,82342,15.015038248189734,2.9921360462010895,0.009860558302924621,0.022899639245934026
